#,Latency steering,Period steering,Latency velocity,Period velocity
469,-1,-1,25525760,178742121
470,28611584,178606502,-1,-1
471,-1,-1,23492608,56706154
472,26664448,56792775,-1,-1
473,-1,-1,25458944,152581585
474,28730112,152680407,-1,-1
475,-1,-1,21389568,155558816
476,24673792,155572145,-1,-1
477,-1,-1,25457920,58960584
478,28677120,58895968,-1,-1
479,-1,-1,25471488,171519780
480,28615680,171444031,-1,-1
481,-1,-1,25520896,167640613
482,28652032,167627293,-1,-1
483,-1,-1,25566720,59873105
484,28612352,59788411,-1,-1
485,-1,-1,25944832,159417725
486,29172480,159599442,-1,-1
487,-1,-1,25550336,149719198
488,28763648,149704800,-1,-1
489,-1,-1,25424640,76760075
490,28654592,76776978,-1,-1
491,-1,-1,25434624,151651188
492,28624640,151610822,-1,-1
493,-1,-1,25585152,69894409
494,28772352,69892038,-1,-1
495,-1,-1,25511680,150534797
496,28680960,150516855,-1,-1
497,-1,-1,25384704,58756800
498,28641792,58844070,-1,-1
499,-1,-1,25513472,158733786
500,31693568,161656810,-1,-1
501,-1,-1,25550080,87815715
502,28589056,84674381,-1,-1
503,-1,-1,25624320,137657008
504,28752128,137745865,-1,-1
505,-1,-1,26927616,88682534
506,30089472,88716644,-1,-1
507,-1,-1,25416960,140639869
508,28599040,140660229,-1,-1
509,-1,-1,27444480,60877201
510,30655232,60906442,-1,-1
511,-1,-1,25567744,162664983
512,28795648,162681865,-1,-1
513,-1,-1,25542656,61810122
514,28717312,61757143,-1,-1
515,-1,-1,27516672,183501085
516,30755584,183565603,-1,-1
517,-1,-1,25582080,58937046
518,28641792,58757674,-1,-1
519,-1,-1,27203840,159743980
520,30282752,159763419,-1,-1
521,-1,-1,25555200,58744268
522,28739840,58850052,-1,-1
523,-1,-1,25573120,149580684
524,28825088,149648129,-1,-1
525,-1,-1,25537536,168652895
526,28606464,168469714,-1,-1
527,-1,-1,26918656,61726864
528,30198272,61937765,-1,-1
529,-1,-1,25490944,161732497
530,28637184,161598360,-1,-1
531,-1,-1,25449216,143549974
532,28696320,143651754,-1,-1
533,-1,-1,9502464,68803498
534,12725248,68778498,-1,-1
535,-1,-1,25491456,171596054
536,28670464,171552291,-1,-1
537,-1,-1,26907648,148402920
538,30141952,148458890,-1,-1
539,-1,-1,27429888,60878567
540,30642176,60856308,-1,-1
541,-1,-1,25603840,176681958
542,28630528,176496157,-1,-1
543,-1,-1,22345728,55704601
544,25620992,55953492,-1,-1
545,-1,-1,25591296,159663879
546,31633920,162431593,-1,-1
547,-1,-1,25455616,61740023
548,28683264,58924273,-1,-1
549,-1,-1,24421632,164478779
550,27680256,164509974,-1,-1
551,-1,-1,25421824,58873891
552,28648704,58842112,-1,-1
553,-1,-1,27060992,176519522
554,30196480,176427947,-1,-1
555,-1,-1,25454592,59754561
556,28771840,59936553,-1,-1
557,-1,-1,25414656,152574052
558,28680448,152522926,-1,-1
559,-1,-1,25494528,73833681
560,28603392,73675364,-1,-1
561,-1,-1,25540096,158683705
562,28642304,158677543,-1,-1
563,-1,-1,25459200,58791237
564,28705536,58935881,-1,-1
565,-1,-1,25579776,166578690
566,28834816,166587205,-1,-1
567,-1,-1,25468928,61785916
568,28649984,61712120,-1,-1
569,-1,-1,19567104,157716050
570,23615232,158583593,-1,-1
571,-1,-1,25344512,59662388
572,28631040,58900571,-1,-1
573,-1,-1,25402880,170650229
574,28582400,170542881,-1,-1
575,-1,-1,8406016,41887472
576,11691776,41993994,-1,-1
577,-1,-1,12384000,165637638
578,15574784,165542426,-1,-1
579,-1,-1,25426944,58924937
580,28637952,58945966,-1,-1
