#,Latency steering,Period steering,Latency velocity,Period velocity
1,-1,-1,722,18446744073709551615
2,722,18446744073709551615,-1,-1
3,-1,-1,772,50
4,772,50,-1,-1
5,-1,-1,872,100
6,872,100,-1,-1
7,-1,-1,922,50
8,922,50,-1,-1
9,-1,-1,1022,100
10,1022,100,-1,-1
11,-1,-1,1072,50
12,1072,50,-1,-1
13,-1,-1,223,150
14,223,150,-1,-1
15,-1,-1,223,0
16,223,0,-1,-1
17,-1,-1,373,150
18,373,150,-1,-1
19,-1,-1,373,0
20,373,0,-1,-1
21,-1,-1,523,150
22,523,150,-1,-1
23,-1,-1,573,50
24,573,50,-1,-1
25,-1,-1,723,150
26,723,150,-1,-1
27,-1,-1,723,0
28,723,0,-1,-1
29,-1,-1,873,150
30,873,150,-1,-1
31,-1,-1,923,50
32,923,50,-1,-1
33,-1,-1,1023,100
34,1023,100,-1,-1
35,-1,-1,1073,50
36,1073,50,-1,-1
37,-1,-1,224,150
38,224,150,-1,-1
39,-1,-1,224,0
40,224,0,-1,-1
41,-1,-1,324,100
42,324,100,-1,-1
43,-1,-1,424,100
44,424,100,-1,-1
45,-1,-1,524,100
46,524,100,-1,-1
47,-1,-1,574,50
48,574,50,-1,-1
49,-1,-1,674,100
50,674,100,-1,-1
51,-1,-1,724,50
52,724,50,-1,-1
53,-1,-1,874,150
54,874,150,-1,-1
55,-1,-1,924,50
56,924,50,-1,-1
57,-1,-1,1024,100
58,1024,100,-1,-1
59,-1,-1,1074,50
60,1074,50,-1,-1
61,-1,-1,175,100
62,225,150,-1,-1
63,-1,-1,225,50
64,225,0,-1,-1
65,-1,-1,375,150
66,375,150,-1,-1
67,-1,-1,425,50
68,425,50,-1,-1
69,-1,-1,525,100
70,525,100,-1,-1
71,-1,-1,575,50
72,575,50,-1,-1
73,-1,-1,725,150
74,725,150,-1,-1
75,-1,-1,775,50
76,775,50,-1,-1
77,-1,-1,875,100
78,875,100,-1,-1
79,-1,-1,925,50
80,925,50,-1,-1
81,-1,-1,1075,150
82,1075,150,-1,-1
83,-1,-1,1125,50
84,1125,50,-1,-1
85,-1,-1,226,100
86,226,100,-1,-1
87,-1,-1,276,50
88,276,50,-1,-1
89,-1,-1,376,100
90,426,150,-1,-1
91,-1,-1,476,100
92,476,50,-1,-1
93,-1,-1,626,150
94,626,150,-1,-1
95,-1,-1,626,0
96,626,0,-1,-1
97,-1,-1,776,150
98,776,150,-1,-1
99,-1,-1,826,50
100,826,50,-1,-1
