#,Latency steering,Period steering,Latency velocity,Period velocity
1,-100,-1,-1,-1
2,-1,-1,100,-1
3,50,150,-1,-1
4,-1,-1,100,0
5,-1,-1,100,0
6,50,0,-1,-1
7,-1,-1,100,0
8,50,0,-1,-1
9,-1,-1,100,0
10,-1,-1,100,0
11,50,0,-1,-1
12,-1,-1,100,0
13,50,0,-1,-1
14,-1,-1,100,0
15,-1,-1,100,0
16,50,0,-1,-1
17,-1,-1,100,0
18,50,0,-1,-1
19,-1,-1,100,0
20,-1,-1,100,0
21,50,0,-1,-1
22,-1,-1,100,0
23,50,0,-1,-1
24,-1,-1,100,0
25,-1,-1,100,0
26,50,0,-1,-1
27,-1,-1,100,0
28,50,0,-1,-1
29,-1,-1,100,0
30,-1,-1,100,0
31,50,0,-1,-1
32,-1,-1,100,0
33,50,0,-1,-1
34,-1,-1,100,0
35,-1,-1,100,0
36,50,0,-1,-1
37,-1,-1,100,0
38,50,0,-1,-1
39,-1,-1,100,0
40,50,0,-1,-1
41,-1,-1,100,0
42,-1,-1,100,0
43,50,0,-1,-1
44,-1,-1,100,0
45,50,0,-1,-1
46,-1,-1,100,0
47,-1,-1,100,0
48,50,0,-1,-1
49,-1,-1,100,0
50,50,0,-1,-1
51,-1,-1,100,0
52,-1,-1,100,0
53,50,0,-1,-1
54,-1,-1,100,0
55,50,0,-1,-1
56,-1,-1,100,0
57,-1,-1,100,0
58,50,0,-1,-1
59,-1,-1,100,0
60,50,0,-1,-1
61,-1,-1,100,0
62,-1,-1,100,0
63,50,0,-1,-1
64,-1,-1,100,0
65,50,0,-1,-1
66,-1,-1,100,0
67,-1,-1,100,0
68,50,0,-1,-1
69,-1,-1,100,0
70,50,0,-1,-1
71,-1,-1,100,0
72,-1,-1,100,0
73,50,0,-1,-1
74,-1,-1,100,0
75,50,0,-1,-1
76,-1,-1,100,0
77,50,0,-1,-1
78,-1,-1,100,0
79,-1,-1,100,0
80,50,0,-1,-1
81,-1,-1,100,0
82,50,0,-1,-1
83,-1,-1,100,0
84,-1,-1,100,0
85,50,0,-1,-1
86,-1,-1,100,0
87,50,0,-1,-1
88,-1,-1,100,0
89,-1,-1,100,0
90,50,0,-1,-1
