#,Latency steering,Period steering,Latency velocity,Period velocity
7826,-1,-1,1733415007632540416,61871751
7827,38489600,73755468,-1,-1
7828,-1,-1,1733415007671926784,139386378
7829,44248064,127458992,-1,-1
7830,-1,-1,1733415007718444800,96517725
7831,32699648,95706069,-1,-1
7832,-1,-1,1733415007709515264,41070442
7833,36818176,41997374,-1,-1
7834,-1,-1,1733415007746159360,86643846
7835,32241408,85540269,-1,-1
7836,-1,-1,1733415007783000320,36840824
7837,44910848,50059428,-1,-1
7838,-1,-1,1733415007814818304,131817652
7839,33632768,121817719,-1,-1
7840,-1,-1,1733415007836679936,171861669
7841,31954432,170211299,-1,-1
7842,-1,-1,1733415007811191552,24511331
7843,23625728,27029658,-1,-1
7844,-1,-1,1733415007878640384,117449053
7845,31360768,114994162,-1,-1
7846,-1,-1,1733415007855721216,27080158
7847,25296640,29807100,-1,-1
7848,-1,-1,1733415007908231936,102510760
7849,31008000,99333248,-1,-1
7850,-1,-1,1733415007878138368,19906195
7851,18038784,22915082,-1,-1
7852,-1,-1,1733415007930567680,102429080
7853,30681344,98517515,-1,-1
7854,-1,-1,1733415007909007360,28439611
7855,27690240,32949631,-1,-1
7856,-1,-1,1733415007958425088,99417691
7857,31575296,96450144,-1,-1
7858,-1,-1,1733415007939897600,31472118
7859,28647680,33458922,-1,-1
7860,-1,-1,1733415007986262528,96364905
7861,31974400,94021536,-1,-1
7862,-1,-1,1733415007965033216,28770364
7863,25841408,31217447,-1,-1
7864,-1,-1,1733415008018731264,103698182
7865,31294464,101127910,-1,-1
7866,-1,-1,1733415007995056128,26324301
7867,23185152,28787236,-1,-1
7868,-1,-1,1733415008036966912,141910755
7869,14956032,139251126,-1,-1
7870,-1,-1,1733415008073634048,36666992
7871,33143296,38049879,-1,-1
7872,-1,-1,1733415008100556800,126922466
7873,32692736,125278264,-1,-1
7874,-1,-1,1733415008136633344,36076408
7875,32671744,37899911,-1,-1
7876,-1,-1,1733415008156971776,120338348
