#,Latency steering,Period steering,Latency velocity,Period velocity
1,-1,-1,1.89e+11,-1
2,1.89e+11,-1,-1,-1
3,-1,-1,1.89e+11,5e+07
4,1.89e+11,5e+07,-1,-1
5,-1,-1,1.89e+11,1e+08
6,1.89e+11,1e+08,-1,-1
7,-1,-1,1.89e+11,5e+07
8,1.89e+11,5e+07,-1,-1
9,-1,-1,1.89e+11,1e+08
10,1.89e+11,1e+08,-1,-1
11,-1,-1,1.89e+11,5e+07
12,1.89e+11,5e+07,-1,-1
13,-1,-1,1.89e+11,1e+08
14,1.89e+11,1e+08,-1,-1
15,-1,-1,1.89e+11,5e+07
16,1.89e+11,5e+07,-1,-1
17,-1,-1,1.89e+11,1e+08
18,1.89e+11,1e+08,-1,-1
19,-1,-1,1.89e+11,5e+07
20,1.89e+11,5e+07,-1,-1
21,-1,-1,1.89e+11,1e+08
22,1.89e+11,1e+08,-1,-1
23,-1,-1,1.89e+11,0
24,1.89e+11,0,-1,-1
25,-1,-1,1.89e+11,1e+08
26,1.89e+11,1e+08,-1,-1
27,-1,-1,1.89e+11,1e+08
28,1.89e+11,1e+08,-1,-1
29,-1,-1,1.9e+11,5e+07
30,1.9e+11,5e+07,-1,-1
31,-1,-1,1.9e+11,1e+08
32,1.9e+11,1e+08,-1,-1
33,-1,-1,1.9e+11,5e+07
34,1.9e+11,5e+07,-1,-1
35,-1,-1,1.9e+11,1e+08
36,1.9e+11,1e+08,-1,-1
37,-1,-1,1.9e+11,5e+07
38,1.9e+11,5e+07,-1,-1
39,-1,-1,1.9e+11,1e+08
40,1.9e+11,1e+08,-1,-1
41,-1,-1,1.9e+11,5e+07
42,1.9e+11,5e+07,-1,-1
43,-1,-1,1.9e+11,1e+08
44,1.9e+11,1e+08,-1,-1
45,-1,-1,1.9e+11,5e+07
46,1.9e+11,5e+07,-1,-1
47,-1,-1,1.9e+11,1e+08
48,1.9e+11,1e+08,-1,-1
49,-1,-1,1.9e+11,0
50,1.9005e+11,5e+07,-1,-1
51,-1,-1,1.9e+11,1.5e+08
52,1.9e+11,1e+08,-1,-1
53,-1,-1,1.9e+11,0
54,1.9e+11,0,-1,-1
55,-1,-1,1.9e+11,1e+08
56,1.9e+11,1e+08,-1,-1
57,-1,-1,1.91e+11,5e+07
58,1.9105e+11,1e+08,-1,-1
59,-1,-1,1.9105e+11,1.5e+08
60,1.9105e+11,1e+08,-1,-1
61,-1,-1,1.9105e+11,5e+07
62,1.9105e+11,5e+07,-1,-1
63,-1,-1,1.91e+11,1e+08
64,1.91e+11,1e+08,-1,-1
65,-1,-1,1.91e+11,0
66,1.91e+11,0,-1,-1
67,-1,-1,1.91e+11,1e+08
68,1.91e+11,1e+08,-1,-1
69,-1,-1,1.91e+11,5e+07
70,1.91e+11,5e+07,-1,-1
71,-1,-1,1.91e+11,1e+08
72,1.91e+11,1e+08,-1,-1
73,-1,-1,1.91e+11,5e+07
74,1.91e+11,5e+07,-1,-1
75,-1,-1,1.91e+11,1e+08
76,1.9105e+11,1.5e+08,-1,-1
77,-1,-1,1.91e+11,5e+07
78,1.91e+11,0,-1,-1
79,-1,-1,1.91e+11,1e+08
80,1.91e+11,1e+08,-1,-1
81,-1,-1,1.91e+11,5e+07
82,1.91e+11,5e+07,-1,-1
83,-1,-1,1.92e+11,1e+08
84,1.92e+11,1e+08,-1,-1
85,-1,-1,1.92e+11,5e+07
86,1.92e+11,5e+07,-1,-1
87,-1,-1,1.92e+11,1e+08
88,1.92e+11,1e+08,-1,-1
89,-1,-1,1.92e+11,5e+07
90,1.92e+11,5e+07,-1,-1
91,-1,-1,1.92e+11,1e+08
92,1.92e+11,1e+08,-1,-1
93,-1,-1,1.92e+11,5e+07
94,1.92e+11,5e+07,-1,-1
95,-1,-1,1.92e+11,1e+08
96,1.92e+11,1e+08,-1,-1
97,-1,-1,1.92e+11,5e+07
98,1.92e+11,5e+07,-1,-1
99,-1,-1,1.92e+11,1e+08
100,1.92e+11,1e+08,-1,-1
101,-1,-1,1.92e+11,5e+07
102,1.92e+11,5e+07,-1,-1
103,-1,-1,1.92e+11,1e+08
104,1.92e+11,1e+08,-1,-1
105,-1,-1,1.92e+11,5e+07
106,1.92e+11,5e+07,-1,-1
107,-1,-1,1.92e+11,1e+08
108,1.92e+11,1e+08,-1,-1
109,-1,-1,1.92e+11,5e+07
110,1.92e+11,5e+07,-1,-1
111,-1,-1,1.93e+11,1e+08
112,1.93e+11,1e+08,-1,-1
113,-1,-1,1.93e+11,5e+07
114,1.93e+11,5e+07,-1,-1
115,-1,-1,1.93e+11,1e+08
116,1.93e+11,1e+08,-1,-1
117,-1,-1,1.93e+11,5e+07
118,1.93e+11,5e+07,-1,-1
119,-1,-1,1.93e+11,1e+08
120,1.93e+11,1e+08,-1,-1
121,-1,-1,1.93e+11,5e+07
122,1.93e+11,5e+07,-1,-1
123,-1,-1,1.93e+11,1e+08
124,1.93e+11,1e+08,-1,-1
125,-1,-1,1.93e+11,5e+07
126,1.93e+11,5e+07,-1,-1
127,-1,-1,1.93e+11,1e+08
128,1.93e+11,1e+08,-1,-1
129,-1,-1,1.9305e+11,1e+08
130,1.9305e+11,1e+08,-1,-1
131,-1,-1,1.9305e+11,1e+08
132,1.9305e+11,1e+08,-1,-1
133,-1,-1,1.9305e+11,5e+07
134,1.9305e+11,5e+07,-1,-1
135,-1,-1,1.93e+11,5e+07
136,1.9305e+11,1e+08,-1,-1
137,-1,-1,1.94e+11,1.5e+08
138,1.94e+11,1e+08,-1,-1
139,-1,-1,1.9405e+11,5e+07
140,1.9405e+11,5e+07,-1,-1
141,-1,-1,1.94e+11,1e+08
142,1.94e+11,1e+08,-1,-1
143,-1,-1,1.94e+11,5e+07
144,1.94e+11,5e+07,-1,-1
145,-1,-1,1.94e+11,1e+08
146,1.94e+11,1e+08,-1,-1
147,-1,-1,1.94e+11,5e+07
148,1.94e+11,5e+07,-1,-1
149,-1,-1,1.94e+11,1e+08
150,1.94e+11,1e+08,-1,-1
151,-1,-1,1.94e+11,5e+07
152,1.94e+11,5e+07,-1,-1
153,-1,-1,1.94e+11,1e+08
154,1.94e+11,1e+08,-1,-1
155,-1,-1,1.94e+11,5e+07
156,1.94e+11,5e+07,-1,-1
157,-1,-1,1.94e+11,1e+08
