#,Latency steering,Period steering,Latency velocity,Period velocity
3256,-1,-1,1733238051775963136,149363974
3257,33375232,142157426,-1,-1
3258,-1,-1,1733238051762909952,36946830
3259,31802880,36304540,-1,-1
3260,-1,-1,1733238051807782912,94872644
3261,37047808,95113412,-1,-1
3262,-1,-1,1733238051779732736,21949972
3263,18912256,23751197,-1,-1
3264,-1,-1,1733238051848713472,118980201
3265,31099136,116921938,-1,-1
3266,-1,-1,1733238051834994688,86281162
3267,19092736,86465988,-1,-1
3268,-1,-1,1733238051822121728,37127121
3269,34928128,40000315,-1,-1
3270,-1,-1,1733238051867664128,145542443
3271,30975232,142788979,-1,-1
3272,-1,-1,1733238051851623424,33958531
3273,30729216,36640154,-1,-1
3274,-1,-1,1733238051895051520,143428008
3275,33881344,140880685,-1,-1
3276,-1,-1,1733238051868308224,23256695
3277,15019008,22913697,-1,-1
3278,-1,-1,1733238051880149504,161840950
3279,41893632,173753067,-1,-1
3280,-1,-1,1733238051913612288,133462711
3281,24378112,121662982,-1,-1
3282,-1,-1,1733238051899689216,36076835
3283,30894080,35825339,-1,-1
3284,-1,-1,1733238051947137280,97447742
3285,33709824,95694777,-1,-1
3286,-1,-1,1733238051920978432,23841235
3287,19799040,24951170,-1,-1
3288,-1,-1,1733238051964677376,93698549
3289,34427392,94868808,-1,-1
3290,-1,-1,1733238051939140608,24463279
3291,19824896,24897009,-1,-1
3292,-1,-1,1733238051981824000,92682891
3293,36196352,95107555,-1,-1
3294,-1,-1,1733238051975020544,43196671
3295,31601920,39333472,-1,-1
3296,-1,-1,1733238051953255936,128235158
3297,40840704,140876720,-1,-1
3298,-1,-1,1733238051980948480,127692413
3299,43784704,118639165,-1,-1
3300,-1,-1,1733238051986832384,105883783
3301,41654784,114715994,-1,-1
3302,-1,-1,1733238052035347968,48515538
3303,32925184,38036512,-1,-1
3304,-1,-1,1733238052039534336,104185752
3305,38406144,102703552,-1,-1
3306,-1,-1,1733238052065096448,275562295
3307,33957632,277267130,-1,-1
3308,-1,-1,1733238052074390784,109293948
3309,31203840,108074331,-1,-1
3310,-1,-1,1733238052060265728,85875043
3311,22823680,88351153,-1,-1
3312,-1,-1,1733238052074093056,63827003
3313,30666496,63816697,-1,-1
3314,-1,-1,1733238052097503488,123410275
